file,device,color,state,sourceWidth,sourceHeight,contentX,contentY,contentWidth,contentHeight,outputSize,duplicateOf
"OPPO Enco Air4__春绿__open_case_001.png","OPPO Enco Air4","春绿","open_case",1440,1440,219,351,1038,848,1038,""
"OPPO Enco Air4__霜白__earbuds_pair_001.png","OPPO Enco Air4","霜白","earbuds_pair",1440,1440,153,407,1154,756,1154,""
"OPPO Enco Air4__霜白__earbuds_with_case_001.png","OPPO Enco Air4","霜白","earbuds_with_case",1440,1440,294,224,860,1120,1120,""
"OPPO Enco Air4__霜白__open_case_001.png","OPPO Enco Air4","霜白","open_case",1440,1440,219,351,1038,848,1038,""
"OPPO Enco Air4i__玄岩黑__earbuds_pair_001.png","OPPO Enco Air4i","玄岩黑","earbuds_pair",1440,1440,313,508,813,604,814,""
"OPPO Enco Air4i__玄岩黑__earbuds_with_case_001.png","OPPO Enco Air4i","玄岩黑","earbuds_with_case",1440,1440,282,200,876,1122,1185,""
"OPPO Enco Air4i__玉瓷白__earbuds_pair_001.png","OPPO Enco Air4i","玉瓷白","earbuds_pair",1440,1440,313,508,814,604,814,""
"OPPO Enco Air4i__玉瓷白__earbuds_with_case_001.png","OPPO Enco Air4i","玉瓷白","earbuds_with_case",1440,1440,282,199,875,1123,1185,""
"OPPO Enco Air4i__玉瓷白__earbuds_with_case_002.png","OPPO Enco Air4i","玉瓷白","earbuds_with_case",1440,1440,258,127,923,1185,1185,""
"OPPO Enco Air5 Pro__雾夜黑__earbuds_pair_001.png","OPPO Enco Air5 Pro","雾夜黑","earbuds_pair",1440,1440,146,315,1163,851,1163,""
"OPPO Enco Air5 Pro__雾夜黑__earbuds_with_case_001.png","OPPO Enco Air5 Pro","雾夜黑","earbuds_with_case",1440,1440,331,220,763,1016,1016,""
"OPPO Enco Air5 Pro__雾夜黑__open_case_001.png","OPPO Enco Air5 Pro","雾夜黑","open_case",1440,1440,207,319,1028,863,1028,""
"OPPO Enco Air5 Pro__月珀白__earbuds_pair_001.png","OPPO Enco Air5 Pro","月珀白","earbuds_pair",1440,1440,157,334,1141,836,1163,""
"OPPO Enco Air5 Pro__月珀白__earbuds_with_case_001.png","OPPO Enco Air5 Pro","月珀白","earbuds_with_case",1440,1440,331,220,763,1016,1016,""
"OPPO Enco Air5 Pro__月珀白__open_case_001.png","OPPO Enco Air5 Pro","月珀白","open_case",1440,1440,206,325,1028,863,1028,""
"OPPO Enco Air5__暮云紫__earbuds_pair_001.png","OPPO Enco Air5","暮云紫","earbuds_pair",1440,1440,158,477,1125,734,1127,""
"OPPO Enco Air5__暮云紫__earbuds_with_case_001.png","OPPO Enco Air5","暮云紫","earbuds_with_case",1440,1440,293,180,855,1122,1122,""
"OPPO Enco Air5__暮云紫__open_case_001.png","OPPO Enco Air5","暮云紫","open_case",1440,1440,151,364,1139,910,1141,""
"OPPO Enco Air5__星釉白__earbuds_pair_001.png","OPPO Enco Air5","星釉白","earbuds_pair",1440,1440,158,477,1125,734,1127,""
"OPPO Enco Air5__星釉白__open_case_001.png","OPPO Enco Air5","星釉白","open_case",1440,1440,151,364,1139,910,1141,""
"OPPO Enco Air5__星釉白__open_case_003.png","OPPO Enco Air5","星釉白","open_case",1440,1440,277,236,921,1045,1141,""
"OPPO Enco Air5__玄岩黑__earbuds_pair_001.png","OPPO Enco Air5","玄岩黑","earbuds_pair",1440,1440,157,475,1127,736,1127,""
"OPPO Enco Air5__玄岩黑__earbuds_with_case_001.png","OPPO Enco Air5","玄岩黑","earbuds_with_case",1440,1440,277,234,923,1048,1122,""
"OPPO Enco Air5__玄岩黑__open_case_001.png","OPPO Enco Air5","玄岩黑","open_case",1440,1440,150,363,1141,912,1141,""
"OPPO Enco Air5__玄岩黑__open_case_002.png","OPPO Enco Air5","玄岩黑","open_case",1440,1440,151,315,1138,910,1141,""
"OPPO Enco Air5s__暗夜黑__closed_case_001.png","OPPO Enco Air5s","暗夜黑","closed_case",1440,1440,189,269,1011,1108,1112,""
"OPPO Enco Air5s__暗夜黑__earbuds_with_case_001.png","OPPO Enco Air5s","暗夜黑","earbuds_with_case",1440,1440,381,158,703,1183,1288,""
"OPPO Enco Air5s__暗夜黑__open_case_001.png","OPPO Enco Air5s","暗夜黑","open_case",1440,1440,211,286,1018,1054,1054,""
"OPPO Enco Air5s__星光版 星光紫__closed_case_001.png","OPPO Enco Air5s","星光版 星光紫","closed_case",1440,1440,210,229,1014,1109,1112,""
"OPPO Enco Air5s__星光版 星光紫__earbuds_with_case_001.png","OPPO Enco Air5s","星光版 星光紫","earbuds_with_case",1440,1440,308,129,918,1288,1288,""
"OPPO Enco Air5s__星光版 星光紫__open_case_001.png","OPPO Enco Air5s","星光版 星光紫","open_case",1440,1440,210,288,1013,1051,1054,""
"OPPO Enco Air5s__月光白__closed_case_001.png","OPPO Enco Air5s","月光白","closed_case",1440,1440,212,228,1016,1112,1112,""
"OPPO Enco Air5s__月光白__earbuds_with_case_001.png","OPPO Enco Air5s","月光白","earbuds_with_case",1440,1440,361,127,729,1219,1288,""
"OPPO Enco Air5s__月光白__open_case_001.png","OPPO Enco Air5s","月光白","open_case",1440,1440,211,286,1017,1054,1054,""
"OPPO Enco Air4 新声版__冰透绿__open_case_002.png","OPPO Enco Air4 新声版","冰透绿","open_case",1440,1440,323,304,795,858,0,"OPPO Enco Air4 新声版__冰透绿__open_case_001.png"
"OPPO Enco Air4 新声版__润玉白__open_case_002.png","OPPO Enco Air4 新声版","润玉白","open_case",1440,1440,323,304,795,858,0,"OPPO Enco Air4 新声版__润玉白__open_case_001.png"
"OPPO Enco Air4 新声版__云雾黑__open_case_002.png","OPPO Enco Air4 新声版","云雾黑","open_case",1440,1440,307,306,793,858,0,"OPPO Enco Air4 新声版__云雾黑__open_case_001.png"
"OPPO Enco Air4 Pro__晨曦白__open_case_002.png","OPPO Enco Air4 Pro","晨曦白","open_case",1440,1440,219,351,1038,847,0,"OPPO Enco Air4 Pro__晨曦白__open_case_001.png"
"OPPO Enco Air4 Pro__夜影灰__open_case_002.png","OPPO Enco Air4 Pro","夜影灰","open_case",1440,1440,219,351,1038,847,0,"OPPO Enco Air4 Pro__夜影灰__open_case_001.png"
"OPPO Enco Air4__春绿__earbuds_with_case_002.png","OPPO Enco Air4","春绿","earbuds_with_case",1440,1440,294,224,860,1120,0,"OPPO Enco Air4__春绿__earbuds_with_case_001.png"
"OPPO Enco Air4__霜白__earbuds_with_case_002.png","OPPO Enco Air4","霜白","earbuds_with_case",1440,1440,294,224,860,1120,0,"OPPO Enco Air4__霜白__earbuds_with_case_001.png"
"OPPO Enco Air4i__玄岩黑__earbuds_with_case_002.png","OPPO Enco Air4i","玄岩黑","earbuds_with_case",1440,1440,258,128,923,1184,0,"OPPO Enco Air4i__玄岩黑__earbuds_with_case_001.png"
"OPPO Enco Air5 Pro__雾夜黑__open_case_002.png","OPPO Enco Air5 Pro","雾夜黑","open_case",1440,1440,207,306,1028,863,0,"OPPO Enco Air5 Pro__雾夜黑__open_case_001.png"
"OPPO Enco Air5 Pro__月珀白__open_case_002.png","OPPO Enco Air5 Pro","月珀白","open_case",1440,1440,206,306,1028,863,0,"OPPO Enco Air5 Pro__月珀白__open_case_001.png"
"OPPO Enco Air5__暮云紫__open_case_002.png","OPPO Enco Air5","暮云紫","open_case",1440,1440,151,315,1138,910,0,"OPPO Enco Air5__暮云紫__open_case_001.png"
"OPPO Enco Air5__星釉白__open_case_002.png","OPPO Enco Air5","星釉白","open_case",1440,1440,151,315,1138,910,0,"OPPO Enco Air5__星釉白__open_case_001.png"
"OPPO Enco Air5s__暗夜黑__open_case_002.png","OPPO Enco Air5s","暗夜黑","open_case",1440,1440,211,219,1018,1054,0,"OPPO Enco Air5s__暗夜黑__open_case_001.png"
"OPPO Enco Air5s__星光版 星光紫__open_case_002.png","OPPO Enco Air5s","星光版 星光紫","open_case",1440,1440,210,221,1013,1051,0,"OPPO Enco Air5s__星光版 星光紫__open_case_001.png"
"OPPO Enco Air5s__月光白__open_case_002.png","OPPO Enco Air5s","月光白","open_case",1440,1440,211,219,1017,1054,0,"OPPO Enco Air5s__月光白__open_case_001.png"
